Date,Open,High,Low,Close,Adj Close,Volume
1994-02-14,12.756931,13.205067,12.458174,12.577677,7.221952,42114890
1994-02-21,12.577677,12.966061,12.577677,12.637428,7.256265,21701154
1994-02-28,12.697180,12.876434,12.458174,12.577677,7.221952,37889886
1994-03-07,12.667304,13.444073,12.278920,13.354446,7.667965,62275074
1994-03-14,13.414197,13.951960,13.354446,13.653203,7.839513,51890805
1994-03-21,13.593451,14.071463,12.816683,12.906310,7.410654,51202119
1994-03-28,12.995937,13.145315,12.428298,13.055688,7.496424,59053395
1994-04-04,12.667304,12.936185,12.488050,12.547801,7.204803,42334130
1994-04-11,12.577677,13.025813,12.398423,12.667304,7.273418,50013862
1994-04-18,12.637428,14.220841,12.278920,14.041587,8.062517,91379815
1994-04-25,13.981836,14.161090,13.563576,13.742830,7.890975,39687750
1994-05-02,13.742830,14.011711,13.444073,13.503824,7.753738,31404266
1994-05-09,13.503824,13.922084,13.503824,13.742830,7.925286,31109713
1994-05-16,13.772706,14.907983,13.712954,14.848231,8.562752,80757894
1994-05-23,14.848231,15.326243,14.668977,15.206740,8.769496,51086221
1994-05-30,15.176864,15.236616,14.519598,14.579350,8.407690,33704212
1994-06-06,14.639101,15.176864,14.609226,14.967734,8.631663,32666162
1994-06-13,14.907983,15.535373,14.878107,14.907983,8.597207,46857033
1994-06-20,14.788480,14.878107,14.220841,14.310468,8.252629,36748490
1994-06-27,14.101338,14.788480,13.563576,13.623327,7.856368,60396458
1994-07-04,13.623327,13.832457,13.444073,13.533700,7.804677,36661882
1994-07-11,13.593451,13.981836,13.115440,13.593451,7.839137,57131684
1994-07-18,13.683078,14.967734,13.025813,14.668977,8.459376,80260835
1994-07-25,14.668977,15.087237,14.657774,14.788480,8.528296,40317443
1994-08-01,14.788480,15.176864,14.698853,14.907983,8.597207,37052250
1994-08-08,14.997610,15.565249,14.967734,15.236616,8.821731,49561571
1994-08-15,15.236616,16.401770,15.236616,16.282267,9.427144,62418167
1994-08-22,16.132887,16.760277,15.923757,16.730402,9.686609,75726634
1994-08-29,16.670650,16.730402,15.953633,16.073135,9.306061,45608948
1994-09-05,16.043261,16.312141,15.923757,16.073135,9.306061,29081310
1994-09-12,16.132887,17.059034,16.132887,16.969406,9.824984,57962207
1994-09-19,16.879780,17.059034,16.461519,16.521273,9.565523,50677026
1994-09-26,16.491396,16.760277,16.192638,16.640774,9.634713,35674876
1994-10-03,16.581022,17.148663,16.103010,16.999283,9.842280,49719727
1994-10-10,17.029160,17.716299,16.909657,17.477295,10.119042,51138939
1994-10-17,17.417543,18.194311,17.387667,17.835802,10.326616,69133907
1994-10-24,17.835802,18.254063,17.357792,18.194311,10.534184,49569939
1994-10-31,18.074808,18.074808,16.999283,16.999283,9.842280,50208837
1994-11-07,17.059034,17.776052,16.909657,17.298040,10.049439,47276690
1994-11-14,17.387667,17.656549,17.268164,17.507170,10.170938,39631266
1994-11-21,17.507170,17.716299,16.252390,16.909657,9.823806,41194827
1994-11-28,16.939531,17.118786,16.461519,17.059034,9.910592,37472322
1994-12-05,17.118786,17.298040,16.610899,17.088909,9.927946,39684821
1994-12-12,16.999283,17.059034,16.581022,16.760277,9.737022,43715268
1994-12-19,16.849903,17.835802,16.849903,17.566921,10.205651,45862079
1994-12-26,17.716299,17.805927,17.327915,17.566921,10.205651,24938314
1995-01-02,17.566921,18.104685,17.507170,17.955305,10.431281,35455217
1995-01-09,17.925430,18.463194,17.895554,18.254063,10.604852,49749015
1995-01-16,18.254063,18.642447,17.925430,18.015057,10.466000,46870005
1995-01-23,17.805927,17.895554,16.879780,17.327915,10.066799,70174884
1995-01-30,17.387667,17.985182,16.790154,17.835802,10.361858,48008471
1995-02-06,17.776052,18.104685,17.656549,17.925430,10.413928,32686245
1995-02-13,17.955305,18.224188,17.835802,17.925430,10.448934,38347616
1995-02-20,17.925430,18.104685,17.716299,17.895554,10.431522,29468748
1995-02-27,17.835802,19.120459,17.626673,19.090584,11.128120,58065552
1995-03-06,19.000956,19.508842,18.761950,19.389339,11.302268,71248080
1995-03-13,19.478968,19.986855,19.419216,19.747849,11.511242,55824603
1995-03-20,19.777725,20.166109,19.419216,19.986855,11.650562,48626448
1995-03-27,20.046606,20.345364,19.449093,19.628345,11.441580,49906752
1995-04-03,19.658222,20.345364,19.658222,20.076483,11.702804,39755530
